symbol,count
BTC,34
ETH,34
USDT,34
XRP,34
BNB,34
SOL,34
USDC,34
DOGE,34
STETH,34
TRX,34
ADA,34
WSTETH,34
LINK,34
WBETH,34
HYPE,34
USDE,34
AVAX,34
WBTC,34
WETH,34
SUI,34
XLM,34
BCH,34
WEETH,34
HBAR,34
LEO,34
LTC,34
TON,34
CRO,34
SHIB,34
DOT,34
CBBTC,34
SUSDE,34
CNX,34
MNT,34
XMR,34
WLFI,34
DAI,34
UNI,34
ZETRIX,34
AAVE,34
L1X,34
ENA,34
PEPE,34
ZBU,34
IP,34
USDT0,34
ASTER,34
OKB,34
NEAR,34
BGB,34
PLSX,34
BIT,34
RYO,34
TAO,34
JITOSOL,34
MGC,34
APT,34
ONDO,34
ETC,34
WLD,34
USD1,34
M,34
ARB,34
POL,34
ICP,34
SUSDS,34
JLP,34
INSURANCE,34
KAS,34
PUMP,34
ATOM,34
KCS,34
VET,34
FTN,34
USDF,34
ALGO,34
RSETH,34
RETH,34
RENDER,34
PENGU,34
FLR,34
USDTB,34
MYX,34
SEI,34
TRUMP,34
BONK,34
BBTC,34
WBNB,34
T99,34
SKY,34
FIL,34
PYUSD,34
FET,34
LSETH,34
HEX,34
JUP,33
MKR,33
MRS,19
BNX,19
IMX,8
